Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings,5Y Average
CT4001027,International Submarine Engineering Ltd.,1734 Broadway Street,,Port Coquitlam,BC,ZZ$EXISTING ACCOUNT$,15289.44,0,3057.888,1
IWG001,International Water Guard Industries Inc.,Bldg 7 - 15050 54A Avenue,,Surrey,BC,,0,0,251.748,1
INT0021,Intertek Testing Servs NA Ltd.,14920 - 135 Ave.,,Edmonton,AB,,0,0,0,2
INT008,Intertek Testing Servs NA Ltd.,1500 Brigantine Drive,,Coquitlam,BC,,0,0,0,2
ISI0017,IPEC Systems Inc.,9761 45 Avenue NW,,Edmonton,AB,,0,0,700,1
DAV162053,IRT Integrated Rectifier Technologies Inc.,15360 - 116 Avenue NW,,Edmonton,AB,TOP 50 - ZOWSLEY,642.2,56649.62,57784.826,1
ITI0011,Island Technical Installations,1 - 6782 Veyaness Road,,Saanichton,BC,TOP 50 - ZOWSLEY,0,72402.6,16246.92,1
DAV227176,IWR Technologies Ltd.            (H/O),7920 56 Street SE,,Calgary,AB,3. GOOD PROSPECT,0,940.8,188.16,1
JAM006,James & Sons Electric Ltd.,1055 Cariboo Highway N,,Quesnel,BC,,0,0,25.932,1
JTL001,Jastram Engineering Ltd.,135 Riverside Drive W.,,North Vancouver,BC,TOP 50 - ZOWSLEY,0,23691.4,5504.438,1
JBE001,JB Entreprise,78 Champlain Place,,Beaumont,AB,3. GOOD PROSPECT,0,0,0,1
JEL003,JenSo Controls & Electrical Ltd.,"13, 52308 Range Road 214",,Sherwood Park,AB,TOP 50 - ZOWSLEY,0,15206.79,11520.73,1
DAV117023,JP Power Technology Inc.,14225 - 129th Ave.,,Edmonton,AB,3. GOOD PROSPECT,0,0,340.05,1
CT927,JRS Industrial & Power Solutions,1072 King Edward Street,,Winnipeg,MB,2. TARGET (OUTSIDE),0,0,1862.266,1
KIL002,Kane Instrumentation Ltd.,"2109,  84th Avenue",,Edmonton,AB,TOP 50 - ZOWSLEY,0,17131.92,13691.94,1
KEI0016,Keirton Inc.,9445 189th Street,,Surrey,BC,,0,0,1729.6,1
KEY001,Keyera Partnership,144 - 4th Avenue SW,"Suite 200, Sun Life Plaza West Tower",Calgary,AB,,0,0,0,1
KIN005,Kinemek,"108 Research Drive, Suite 105",,Saskatoon,SK,,0,0,814.72,1
KIR001,Kirk Richardson,962 West 16th Avenue,#312 (Buzzer: 1302),Vancouver,BC,,0,0,241.4,1
DAV139542,Kobelt Manufacturing Co. Ltd.,8238 - 129th Street,,Surrey,BC,TOP 50 - ZOWSLEY,0,134374.44,103666.378,1
KCI007,Konecranes Canada Inc.,3332 114 ave SE,,Calgary,AB,,0,0,579.6,1
KON002,Konecranes Canada Inc.,#10 - 1585 Cliveden Ave.,,Delta,BC,,0,0,579.6,1
KPU001,Kwantlen Polytechnic University,12666 - 72nd Ave,Cloverdale Campus,Surrey,BC,2. TARGET (OUTSIDE),0,2536,1620.8,1
LCA002,LD Cowley and Associates Ltd.,2968 Henderson Road,,Victoria,BC,,0,0,0,1
DAV226350,Legend Power Systems Inc.,1480 Frances Street,,Vancouver,BC,,0,0,15121.784,1
LEC009,Leonard Carter,9222 University Crescent,Apt. 103 / Buzzer Code 2325,Burnaby,BC,,0,6806.5,1952.38,1
LIS002,Lifting Solutions Inc.,3710 - 78 Avenue NW,,Edmonton,AB,,0,0,12724.378,1
LFS002,LJP Field Services,610 - 17th Ave. SW,Apt 201,Calgary,AB,5. QUALIFIED LOW,0,0,0,1
CT4001031,Lochhead Haggerty Engineering,508 Eaton Place,Annacis Island,Delta,BC,ZZ$EXISTING ACCOUNT$,0,254.7,115.824,1
LWS001,Lonkar Wireline Services,8080 Edgar Industrial Crescent,,Red Deer,AB,3. GOOD PROSPECT,0,0,0,1
LVL003,Lucid Vision Labs Inc,130-13200 Delf Place,,Richmond,BC,,0,0,0,1
LTC002,Luxmux Technology Corporation,"1030, 2424 - 4th Street SW",,Calgary,AB,,0,0,0,1
LTC003,Luxmux Technology Corporation,5 Richmond Way SW,,Calgary,AB,,0,0,0,1
EM4011639,LV Control Manufacturing,660 Golspie St.,,Winnipeg,MB,2. TARGET (INSIDE),0,806.59,686.188,1
EM4014136,Madis Engineering Ltd.,"#7, 9510-114th Avenue SE",,Calgary,AB,ZZ$EXISTING ACCOUNT$,0,0,204.12,1
CT4000053,"Magellan Aerospace, Winnipeg",660 Berry Street,,Winnipeg,MB,,0,0,391.86,1
MIE005,Magna IV Engineering,3140 - 114 Avenue SE,,Calgary,AB,,0,5289.76,424.376,2
DAV161037,Magna IV Engineering       (H/O),1103 Parsons Road SW,,Edmonton,AB,2. TARGET (OUTSIDE),0,0,424.376,1
MCS003,Magnum Cementing Services Operations Ltd.,PO Box 60010,,Strathmore,AB,5. QUALIFIED LOW,0,0,0,1
CT928,Manco Control Systems Inc.,52B Caithness Street,,Winnipeg,MB,2. TARGET (OUTSIDE),0,5782.76,6895.808,1
CT4004355,Manitoba Hydro,1840 Chevrier Blvd,Door 15 - Central Stores,Winnipeg,MB,4. BRANCH ACCOUNT,0,0,183.168,3
CT999,Manitoba Hydro,12 - 1146 Waverley St.,,Winnipeg,MB,ZZ TOP-100 (INSIDE),0,0,183.168,3
CT4001770,Manitoba Hydro    (H/O),PO Box 815,Accounts Payable Section,Winnipeg,MB,,0,0,0,1
TOM100218,Marine Canada Acquisition Inc.,DBA Seastar Solutions,3831 No. 6 Road,Richmond,BC,TOP 50 - ZOWSLEY,0,20083.76,6134.952,1
DAV76073,Martech Electrical Systems Ltd.,1700 Woodland Drive,,Castlegar,BC,2. TARGET (OUTSIDE),0,0,357.928,1
MAI0032,Matrix Automation Integration and Machine Inc.,27717 Acheson Rd,,Acheson,AB,,0,1762,352.4,1
MEC0010,MEG Energy Corp.,600 - 3 Avenue SW,25th Floor,Calgary,AB,,0,0,0,1
DAV193994,Meridian Power Systems Inc.,411 Kaska Rd.,,Sherwood Park,AB,3. GOOD PROSPECT,0,7481.6,1496.32,1
MEV001,Metro Vancouver / Metrotower III,"4730 Kingsway, Mailroom 11th Floor",accountspayable@metrovancouver.org,Burnaby,BC,,0,0,306.504,1
MIL0026,Michael Legary,34 Empire Street,,Headingley,MB,,0,6421,1284.2,1
MIT004,Micro Tool & Machine Ltd. (MTM),1166 Sanford Street,,Winnipeg,MB,TOP 50 - ZOWSLEY,0,59101.4,19574.04,1
MRC001,Millenia Engineering,"#200, 628 - 11th Ave SW",,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
MIP008,Ming Tong,Unit 501,450 8th Avenue SE,Calgary,AB,,0,1963,544.968,1
MIS0012,MistyWest Energy & Transport Ltd.,"2nd Floor; #554 East 15th Ave,",,Vancouver,BC,2. TARGET (OUTSIDE),0,0,2594.3,1
EM4015814,Mitsubishi Hitachi Power Systems Canadia Ltd.,3903 Brodsky Avenue,"Power Division Service Facility, unit #100",Saskatoon,SK,ZZ D FAIR PROSPECT,0,0,0,1
MDG001,Motus Design Group Ltd.,201-1821 Cook Street,,Victoria,BC,,0,0,2394.096,1
MTI0015,MPB Technologies Inc.,27 East Lake Hill,Electronics Test Centre,Airdrie,AB,,0,0,749,1
EM4011288,NAIT Main Campus,11762 - 106 Street NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,0,1141.452,1
NAM006,NAMCO Machine & Gear Works Ltd.,9168 - 35 Avenue NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,9303.28,1860.656,1
EM4011310,National Research Council,Drao Pen White Lake Road,"PO Box 248, Stn. Main",Penticton,BC,6. NEW PROSPECT,0,0,1007.168,1
EM4014155,National Research Council,Institute for Fuel Cell Innovation,4250 Wesbrook Mall,Vancouver,BC,3. GOOD PROSPECT,0,5035.84,1007.168,1
TPX100321,National Research Council,Institute for Biodiagnostics,435 Ellice Avenue,Winnipeg,MB,3. GOOD PROSPECT,0,0,1007.168,1
NRC003,National Research Council,5071 West Saanich Road,,Victoria,BC,6. NEW PROSPECT,0,0,1007.168,1
NET007,Netint Technologies Inc.,306-3500 Gilmore Way,,Burnaby,BC,,0,0,0,1
NET0010,Neurio Technology,768 Seymour St,,Vancouver,BC,,0,2748,9254.2,2
NTI0010,Neurio Technology Inc.,6th Floor - 555 Robson Street,,Vancouver,BC,2. TARGET (OUTSIDE),0,24037,9254.2,2
NIS0011,NextGen Integrated Systems Inc.,5 - 19351 94 Ave.,,Surrey,BC,,0,0,512.4,1
DAV222453,Noram Engineering and Constructors Ltd.,"200 Granville St., #1800",,Vancouver,BC,3. GOOD PROSPECT,0,0,2152.4,1
NAC009,North American Construction Group,11405 - 163 Street,,Edmonton,AB,3. GOOD PROSPECT,0,0,0,1
NOD005,Northstar Drillstem Testers Inc.,2410A - 2nd Avenue SE,,Calgary,AB,,0,0,245,1
NCC002,Northwest Community College,5331 McConnell Ave.,,Terrace,BC,3. GOOD PROSPECT,0,0,0,1
DES0013,NOV Canada ULC,Completion & Production Solutions,6771 - 84 Street SE,Calgary,AB,2. TARGET (OUTSIDE),0,0,2417.55,2
NCA002,NOV Canada ULC,7910 - 48 Street SE,,Calgary,AB,,0,0,2417.55,2
DAV229159,NOV Canada ULC,PO Box 667,Station M,Calgary,AB,,0,0,2417.55,2
EM4014368,Nova Chemicals,2928 - 16th Street NE,,Calgary,AB,ZZ D FAIR PROSPECT,0,0,97.44,1
NOC003,NOVA Chemicals Corporation,38430 Highway 815,,Lacombe County,AB,,0,56.64,409.578,1
EM4012536,NOVA Gas Transmission Ltd.      (H/O),"PO Box 1000, Station M",Accounts Payable Department,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
EM4013120,NovAtel Inc.,Hexagon Calgary Campus,10921 - 14th Street NE,Calgary,AB,TOP 50 - ZOWSLEY,0,65650,35735.8,1
NHA001,NRC Herzberg Astronomy and Astrophysics,PO Box 248,,Penticton,BC,,0,0,0,1
NYV001,NYIT Vancouver,"701 W. Georgia St., Suite 1700",P.O. Box 10104,Vancouver,BC,,0,0,0,1
CD11019,Oce Display Graphics Systems Inc.,406 - 13251 Delf Place,,Richmond,BC,3. GOOD PROSPECT,0,0,0,1
EM4013619,Okanagan College,Finance - Accounts Payable,1000 KLO Road,Kelowna,BC,2. TARGET (OUTSIDE),0,0,2457,1
OLG002,Oleg Gritsev,54 Niven Pl NW,,Calgary,AB,,1583,0,316.6,1
OPI004,Opcon Inc.,54004 Township Road 252,,Calgary,AB,,0,0,100.88,1
DAV61705,Pace Technologies,9604-41 Avenue NW,Suite 112,Edmonton,AB,,0,0,104.98,1
PAN001,Panelflex Ltd.,7408 40 Street SE,Bay 9,Calgary,AB,3. GOOD PROSPECT,0,0,3.57,1
DAV86806,Pason Systems Corp.,6130 - 3rd Street SE,,Calgary,AB,,0,0,0,1
CT4000955,Patton & Cooke Ltd.,7795 - 128th Street,Unit 100,Surrey,BC,,0,0,843.442,1
EM4014050,PCA Valence Engineering Technologies Ltd (H/O),"#151, 4999-43rd Street SE",,Calgary,AB,2. TARGET (INSIDE),0,0,1012.564,1
PEE003,Peco Electrical Ltd.,6708 - 41 Street,,Leduc,AB,2. TARGET (INSIDE),0,688.98,1110.952,1
PPC004,Pembina Pipeline Corporation,"4000, 525 - 8th Ave. SW",,Calgary,AB,,0,0,0,1
PFL002,Penticton Foundry Ltd.,568 Dawson Avenue,,Penticton,BC,,0,0,316.656,1
PEI006,Perm Inc.,3956 - 29th Street NE,,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
DAV186085,Petrospec Engineering Ltd,275 Portage Close,,Sherwood Park,AB,2. TARGET (OUTSIDE),0,0,0,1
CT4001045,Philtek Electronics Ltd.,11828 Machrina Way,OUT OF BUSINESS,Richmond,BC,3. GOOD PROSPECT,0,0,1231.354,1
WST14636,Photon Control Inc.,#130 - 13500 Verdun Place,,Richmond,BC,2. TARGET (OUTSIDE),0,4405,2771.5,1
PFI005,Piebiak Farms Inc.,PO Box 97,,Eaglesham,AB,,0,0,322.184,1
PPS001,Pioneer Petrotech Services Inc.,"#1, 1431 - 40 Ave. NE",,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
PMI0010,Planar Motor Inc.,100-6660 Graybar Road,,Richmond,BC,,0,0,705.2,1
CT4000922,Polyphase Engineered Controls,3555 - 93 Street,,Edmonton,AB,3. GOOD PROSPECT,0,0,0,1
PEL0010,Portable Electric Ltd.,258 Raymur Avenue,,Vancouver,BC,,0,0,0,1
CT4005435,Potash Corp. of Saskatchewan,Cory Division,PO Box 1320,Saskatoon,SK,4. BRANCH ACCOUNT,0,0,0,1
PCI007,"Powell Canada, Inc.",10960 - 274 Street,,Acheson,AB,2. TARGET (OUTSIDE),0,5632.02,14172.416,1
CT4000894,Power Systems Plus Inc.,12924 - 146th Street,,Edmonton,AB,ZZ TOP-100 (INSIDE),0,0,0,1
PTL003,Power Technologies Ltd.,10310 - 76 Ave,,Grande Prairie,AB,,0,0,524.94,3
TOM100208,Powertech Labs Inc.,12388 - 88th Avenue,,Surrey,BC,TOP 50 - ZOWSLEY,0,22373.67,9446.816,1
PRA009,Praxair Canada Inc.,PO Box 1840,,Gibbons,AB,,0,0,748.686,1
PDS001,Precise Downhole Services Ltd.,506 23A Avenue,,Nisku,AB,2. TARGET (OUTSIDE),0,0,0,1
EM4008490,Price Industries Limited,638 Raleigh St.,,Winnipeg,MB,2. TARGET (OUTSIDE),0,964.13,9839.906,1
PRE007,Prime Engineering Ltd.,1-717 Aldebury Street,,Victoria,BC,TOP 50 - ZOWSLEY,5186.43,54174.65,31975.986,1
CT4001047,Prime Mover Controls,3600 Gilmore Way,,Burnaby,BC,TOP 50 - ZOWSLEY,0,35642.5,11614.052,1
TPZ1007,Procon Systems (2013) Inc.,6025 - 99 Street NW,,Edmonton,AB,,0,995.68,2097.596,1
PRI0027,Progressive Rubber Industries Inc.,597 Chilcotin Rd,,Kamloops,BC,TOP 50 - ZOWSLEY,0,41796.44,8359.288,1
EM4006629,PTI Transformers Inc.,1155 Park Street,,Regina,SK,3. GOOD PROSPECT,0,2484.35,1830.944,1
DAV144893,Public Works Esquimalt Graving,825 Admirals Rd.,,Victoria,BC,2. TARGET (INSIDE),0,0,779.066,1
CT4004700,Pulse Engineering Ltd.,1137 Keewatin Street,,Winnipeg,MB,5. QUALIFIED LOW,0,0,0,1
DAV261597,Purcee Industrial Power Ltd. H/O,RR1 Site 19 Box 2,32101 - 393 Ave E.,Okotoks,AB,,0,0,37.23,1
PUR002,PureHM Inc.,"Unit 1 - 5, 1260 34 Avenue",,Nisku,AB,,0,0,369.6,1
EM4012872,Pyramid Corporation                (H/O),2308 - 8th Street,,Nisku,AB,,0,0,0,1
QAL001,QAI Laboratories,3980 North Fraser Way,,Burnaby,BC,3. GOOD PROSPECT,0,15324,3064.8,1
DAV276362,Quadlogic Meters Canada Inc.,Unit 1105 - 573 Sherling Place,,Port Coquitlam,BC,TOP 50 - ZOWSLEY,905.46,36138.13,29277.544,1
QPI003,Quiver Power Inc,#206 828 Harbourside Drive,,North Vancouver,BC,,0,0,0,1
OMI002,R Stahl Ltd.,7003 - 56 Avenue NW,,Edmonton,AB,5. UNQUALIFIED,0,0,0,1
RAE005,Radial Engineering Ltd.,1845 Kingsway Avenue - Unit 1165,,Port Coquitlam,BC,,0,0,566.6,1
RAM009,Ranglar Manufacturing Inc.,3111 Shepard Place S.E,A Division of Coil Solutions Inc.,Calgary,AB,2. TARGET (OUTSIDE),0,1810.35,2229.512,1
RAR005,Rawlco Radio,715 Saskatchewan Cres. W,,Saskatoon,SK,,0,0,0,1
CT4005095,Raytheon Canada Ltd.,Calgary Electronics Facility,919 - 72nd Ave. NE,Calgary,AB,ZZ D FAIR PROSPECT,0,0,0,1
RTC004,Redlen Technologies Inc.,Unit 123 - 1763 Sean Heights,,Saanichton,BC,,0,0,0,1
REW004,Remote Wireline,8804 - 98 Street,,Morinville,AB,3. GOOD PROSPECT,0,2332.4,466.48,1
OWM001,Reservoir Group,"105, 1437 - 47th Avenue NE",,Calgary,AB,,0,0,486,1
REL003,REV Engineering Ltd.,3236 - 50 Avenue SE,,Calgary,AB,TOP 50 - ZOWSLEY,78405.21,136498.89,114713.632,1
CT4001051,RIC Electronics Ltd.,5628 Riverbend Dr.,Unit 1,Burnaby,BC,TOP 50 - ZOWSLEY,0,16033.91,15562.174,1
RPC002,RIC Power Corporation,5628 Riverbend Dr.,Unit 1,Burnaby,BC,2. TARGET (OUTSIDE),0,0,18184.54,1
ROS002,Rigid Oilfield Services Ltd.,7601 42 Street,,Leduc,AB,3. GOOD PROSPECT,0,0,4498.25,1
RME005,Rocky Mountain Embedded Design Inc.,"#305, 2816 - 11th Street NE",,Calgary,AB,,0,16166,3410.8,1
REW007,Rodan Energy Solutions Corp.,736-6th Ave. SW,Suite 1700,Calgary,AB,2. TARGET (INSIDE),0,1131.42,439.962,1
RPC005,Rokstad Power Corporation,80 Golden Dr.,,Coquitlam,BC,,0,0,0,1
RTL001,Ronera Trucking Ltd.,PO Box 291,,Lashburn,SK,3. GOOD PROSPECT,0,0,0,1
S2B001,S2G BioChem Inc.,4250 Wesbrook Mall,,Vancouver,BC,,0,0,0,1
EM4011304,Sabre Ltd. (H/O),4460-54 Ave. SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,167377.75,54156.604,1
CT4001739,SAIT,1301-16th Avenue NW,,Calgary,AB,2. TARGET (OUTSIDE),0,0,579.4,5
MAP0016,Sanctuary AI,"1825 Quebec Street, Unit 201",Att'n: Mary Postles,Vancouver,BC,,0,12799.35,2559.87,1
BP1184624,Sandvik Canada Inc                (H/O),"Box 13, Group 524, RR5",,Winnipeg,MB,3. GOOD PROSPECT,0,0,0,1
EM4009063,Sask Power,Boundary Dam Power Station,Highway #18 West / PO Box 790,Estevan,SK,ZZ$EXISTING ACCOUNT$,0,0,0,2
CT4001665,Sask Power                         (H/O),2025 Victoria Avenue,c/o A.P. / 4th Floor NE,Regina,SK,3. GOOD PROSPECT,0,0,0,1
EM4006713,Sask Tel,2133 1st Avenue,2nd floor,Regina,SK,5. QUALIFIED LOW,0,0,0,1
EM4011241,Sask Tel,2121 Saskatchewan Dr.,6th Floor,Regina,SK,6. NEW PROSPECT,0,0,0,1
TPZ1028,Sask Tel,140 - 1st Avenue North,4th Floor,Saskatoon,SK,6. NEW PROSPECT,0,0,0,1
SIH003,Saskatchewan Polytechnic,Administrative Offices,"400 - 119, 4th Avenue South",Saskatoon,SK,4. BRANCH ACCOUNT,0,0,758.4,3
EM4006416,Saskatchewan Polytechnic Moose Jaw Campus,Saskatchewan St. & 6th Ave NW,PO Box 1420,Moose Jaw,SK,2. TARGET (OUTSIDE),0,0,758.4,1
EM4011538,Saskatchewan Polytechnic Saskatoon Campus,PO Box 1550,1130 Idylwyld Dr. North,Saskatoon,SK,2. TARGET (OUTSIDE),0,0,0,1
SRC001,Saskatchewan Research Council,6 Research Drive,PTRC Building,Regina,SK,4. BRANCH ACCOUNT,0,0,686.31,2
EM4011640,Saskatchewan Research Council (H/O),15 Innovation Blvd.,,Saskatoon,SK,3. GOOD PROSPECT,0,0,686.31,2
SIL0014,Schepp Industries Ltd.,777 Coopers Dr SW,,Airdrie,AB,,0,0,1579.76,1
DAV250383,Schlumberger,Edmonton Products Center,9803 – 12th Avenue SW,Edmonton,AB,ZZ TOP-100 (INSIDE),0,0,5400,3
EM4008712,Schlumberger,"#1, 8075 - 49th Ave",,Red Deer,AB,3. GOOD PROSPECT,0,0,5400,3
SCH009,Schlumberger,9450-17 Avenue,,Edmonton,AB,,0,0,5400,3
SCH008,Schlumberger,2167 Brier Park Place,,Medicine Hat,AB,,0,0,5400,3
DAV273417,Schlumberger Canada Ltd.,1606 - 8th Street,,Nisku,AB,,0,0,5400,2
SCH006,Schlumberger Canada Ltd.,SMITH Completions,7023 - 56 Avenue,Edmonton,AB,4. BRANCH ACCOUNT,0,0,5400,2
PMO001,Schneider Electric Canada,2195 Keating Cross Road,,Saanichton,BC,2. TARGET (INSIDE),0,0,5467.042,4
CT4003379,Schneider Electric Canada Inc.,21325 115 Avenue NW,,Edmonton,AB,TOP 50 - ZOWSLEY,0,4681.95,5467.042,4
DAV71925,Schneider Electric Canada Inc.,22171 Fraserwood Way,,Richmond,BC,,0,994.44,5467.042,4
SCE001,Schneider Electric Canada Inc.,2195 Keating Cross Rd.,,Saanichton,BC,3. GOOD PROSPECT,23814,0,5467.042,4
SEC0023,Schneider Electric Solar Inc.,13091 Vanier Place,Unit 100,Richmond,BC,TOP 50 - ZOWSLEY,0,41427.39,8607.066,1
BP154977,SCR Electric Ltd.,54-1833 Coast Meridian Rd.,,Port Coquitlam,BC,ZZ TOP-100 (INSIDE),0,0,0,1
DAV94754,Seaspan Victoria Shipyards Co. Ltd.,825 Admirals Road,,Victoria,BC,,0,0,376,1
SGC003,SemCAMS Group Corp.,Kaybob South #3,PO Box 460,Fox Creek,AB,3. GOOD PROSPECT,0,0,0,1
SLC003,Senso Lighting Inc.,302 50 avenue SE,,Calgary,AB,,0,1728.72,345.744,1
SEL005,Service Electric Ltd.,1275 Cariboo Highway 97 North,,Quesnel,BC,6. NEW PROSPECT,0,0,0,1
SCI0023,Shaw Communications Inc.,2728 Hopewell Place NE,,Calgary,AB,,0,0,0,1
SHR002,Shearwater Research Inc.,100-10200 Shellbridge Way,,Richmond,BC,,0,2607,1463,1
CT4000953,Shell Canada Ltd.,3655 - 36 Street NW,,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
AL285567,Shermco Industries,1375 Church Ave,,Winnipeg,MB,6. NEW PROSPECT,0,0,3008.904,2
EM4014453,Shermco Industries,1033 Kearns Cr.,,RM of Sherwood,SK,3. GOOD PROSPECT,0,0,3008.904,2
SPB005,Shift Clean Solutions Ltd,1200 W 73rd Ave,Suite 606,Vancouver,BC,,0,22613.8,4522.76,1
CT4000883,Siemens Canada Limited,811 Roulston Bay,Services Division,Regina,SK,COMPETITION,0,0,0,1
DAV144206,Sierra Wireless Inc.,13811 Wireless Way,Suite 150,Richmond,BC,3. GOOD PROSPECT,0,0,0,1
CD1723,Signify Canada Ltd.,19750 - 92A Avenue,,Langley,BC,2. TARGET (OUTSIDE),0,17003,9214.6,1
SEL0020,Silhouette Enclosures Ltd.,30745 Marshall Road,,Abbotsford,BC,,0,0,221.11,1
EM4006473,Simon Fraser University,"Payment Services, Discovery 1, Room 1625",8999 Nelson Way,Burnaby,BC,2. TARGET (OUTSIDE),0,2000,674.25,2
SFU001,Simon Fraser University,250 - 13450 102nd Ave.,Surrey Campus Central City,Surrey,BC,3. GOOD PROSPECT,0,0,674.25,2
AL295772,Simson Maxwell,1846 South Quinn Street,,Prince George,BC,ZZ D FAIR PROSPECT,0,925.72,6328.556,4
SIM002,Simson Maxwell,#12 - 4131 Mostar Road,,Nanaimo,BC,3. GOOD PROSPECT,0,0,6328.556,4
SIM003,Simson Maxwell,467 Exploration Ave. SE,,Calgary,AB,,0,182.88,6328.556,4
CT4001056,Simson Maxwell (H/O),1605 Kebet Way,,Port Coquitlam,BC,TOP 50 - ZOWSLEY,795.24,9210.21,6328.556,1
SIA006,Sirius Instrumentation and Controls Inc.,4619 82 Avenue NW,,Edmonton,AB,,0,0,95.4,1
SPS0012,Smart Power Systems,PO Box 713,,Estevan,SK,,0,0,0,1
STI008,SMART Technologies ULC,3636 Research Road NW,,Calgary,AB,6. NEW PROSPECT,0,0,792.2,1
SOS009,SMG Oilfield Services Ltd.,7 Thomson Drive,,Kindersley,SK,,0,0,0,1
SMC003,Smit Marine Canada Inc.,2285 Commissioner Street,,Vancouver,BC,6. NEW PROSPECT,0,0,0,1
SMT008,SMPC Technologies,101-7450 Lowland Drive,,Burnaby,BC,,0,7671,1534.2,1
CT4001058,Softac Systems Ltd.,#101 - 8701 Aitken Road,,Chilliwack,BC,ZZ TOP-100 (INSIDE),0,712.68,782.722,1
SCS0011,Solution Control Systems Inc.,15835 145 Avenue,,Edmonton,AB,TOP 50 - ZOWSLEY,0,26537.36,10932.336,1
SEI0034,Sonictek Electronics Inc.,"6900 Graybar Rd, Unit 2325",,Richmond,BC,,0,20641.68,4128.336,1
SOS003,Soul Oilfield Services,"Unit A, 508 - 11 Ave.",,Nisku,AB,,0,0,0,1
DAV209312,Spark Power Corporation,"Bay 110, 62 Fisher Place",PO Box 1815,Okotoks,AB,3. GOOD PROSPECT,0,0,0,1
DAV203366,Spartan Controls Ltd.,8403 - 51 Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0,4067.868,3
SCL0035,Spartan Controls Ltd.,60 - 11550 Barlow Trail NE,,Calgary,AB,,0,20339.34,4067.868,3
DAV103096,Spartan Controls Ltd.     (H/O),305 - 27th Street SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,675.84,3031.824,1
SMS006,Specific Mechanical Systems Ltd.,6848 Kirkpatrick Cres.,,Saanichton,BC,TOP 50 - ZOWSLEY,0,8809,7424.56,1
SPC0588,SprayTest Controls Inc.,411 Railway Avenue,PO Box 269,Beechy,SK,5. QUALIFIED LOW,0,0,58.016,1
CT931,Standard Aero Ltd.                 (H/O),33 Allen Dyne Road,,Winnipeg,MB,ZZ A $KEY ACCOUNT$,0,0,0,1
STM002,StarFish Medical,455 Boleskine Road,,Victoria,BC,,0,880.74,888.244,1
SCL0032,Steelhaus Technologies Canada Ltd.,"Unit 350, 520 - 5th Avenue SW",,Calgary,AB,,0,5946.92,2413.26,2
STC0028,Steelhaus Technologies Canada Ltd.,7679 Edgar Industrial Court,Bay 3 and 4,Red Deer,AB,,1799.2,5490.3,2413.26,2
STS0022,Stellar Solutions,#2 52210 Range Road 232,,Sherwood Park,AB,,0,0,259.8,1
BP1166844,Stewart & Stevenson Canada Inc.    (H/O),3001 Shepard Place SE,,Calgary,AB,5. UNQUALIFIED,0,0,0,1
STI0020,Stimline Inc.,6915 - 108 Avenue SE,,Calgary,AB,,0,0,0,1
SEM003,Stockdales Electric Motor Corporation,1441 Fleury Street,,Regina,SK,TOP 50 - ZOWSLEY,1064.69,305436.57,232534.878,1
SOR001,Strad Oilfield Rentals Ltd.,508 11th Ave.,,Nisku,AB,3. GOOD PROSPECT,0,0,0,1
TP2313,Stream Flo Industries Ltd.,4505 - 74th Avenue,,Edmonton,AB,TOP 50 - ZOWSLEY,0,34944,10985.05,1
STG004,Strike Group,594066 Range Rd 125A,Box 839 Stn Main,Whitecourt,AB,,0,924.56,4522.732,2
STE009,Strike Group  (H/O),"Bay 135, 3953 - 112 Avenue SE",,Calgary,AB,,0,2773.68,3253.41,1
STS008,Struthers Technical Solutions Ltd. H/O,"#3, 1101 Main Street",,Penticton,BC,3. GOOD PROSPECT,0,1561.3,2966.848,1
DAV85132,Suncor,"PO Box 38,  Accts Payable","112,  4th Avenue S.W.",Calgary,AB,ZZ$EXISTING ACCOUNT$,0,0,686.31,4
DAV84511,Suncor Energy,Burnt Lake Gas Plant,Junction 55 & 892,Ardmore,AB,ZZ D FAIR PROSPECT,0,0,0,1
CT4005802,Suncor Energy Inc,Dock A Main Warehouse,PO Box 4001,Tar Island,AB,ZZ TOP-100 (INSIDE),0,0,0,1
CJL65768,Suncor Energy Inc.,Oil Sands Group,Bag 4006 / Accounts Payable,Fort McMurray,AB,6. NEW PROSPECT,0,0,0,1
SSI003,Surepoint Technologies Group Inc.,11004 - 96th Ave.,Accounts Payable Department,Grande Prairie,AB,3. GOOD PROSPECT,0,0,0,2
SUG002,Surepoint Technologies Group Inc.,1211 - 8A Street,,Nisku,AB,,0,0,0,2
SOS0011,Swift Oilfield Supply Incorporated,5114 - 63 Street,,Lloydminster,AB,,0,0,453.6,2
SOS0012,Swift Oilfield Supply Incorporated,5902 Alexander Avenue,,Athabasca,AB,,0,0,453.6,2
